DESCRIPCION DE EQUIPO;MARCA
RECTIFICADOR ERICSSON RECTIFICADOR R48 2000 PBC 05;EMERSON
RECTIFICADOR ERICSSON RECTIFICADOR R48 2000E PBC 05;EMERSON
RECTIFICADOR ERICSSON RECTIFICADOR R48 2000E3 PBC 05;ERICSSON
RECTIFICADOR HUAWEI R4850G2 1U 3000W;HUAWEI
RECTIFICADOR ZTE RECTIFICADORES MARCA ZTE;ZTE
RECTIFICADOR ZTE ZXD3000;ZTE
RMM RYS 110 243/1;ERICSSON
ROUTER CISCO ASR-903;CISCO
SFP CISCO GLC-BX-U;CISCO
SFP CISCO GLC-BX-U  / SFP 1000BASE BX10-D GLC-BX-D;CISCO
SFP CISCO GLC-LH-SMD;CISCO
SFP CISCO GLC-TE;CISCO
SFP CISCO SFP-10G-ER;CISCO
SFP CISCO SFP-GE-T;OTRO
SFP ERICSSON RDH 102 47/2;ERICSSON
SFP ERICSSON RDH 102 65/2 (CPRI & 10GBASE-LR LITE SFP+);ERICSSON
SFP ERICSSON RDH 90120/49800;ERICSSON
SFP GE T CISCO;CISCO
SPD;ZTE
SPLITTER RAU MINILINK;OTRO
SWITCH CISCO ASR 901;CISCO
SWITCH CISCO ASR-920-12CZ-D;CISCO
SWITCH CISCO ASR-920-24SZ-;CISCO
SWITCH CISCO ASR-920-24SZ-M;CISCO
TARJETA CONTROLADORA VENTILADORES 2106;ERICSSON
TARJETA CONTROLADORA VENTILADORES ZTE;ZTE
TARJETA ERICSSON CN 510-RADIO MINI-LINK;ERICSSON
TARJETA ERICSSON CONTROLADORA DE PBC05;EMERSON
TARJETA ERICSSON CONTROLADORA M521B -PBC 05;ERICSSON
TARJETA ERICSSON DXU-21A;ERICSSON
TARJETA ERICSSON FAU 1401;ERICSSON
TARJETA ERICSSON FAU4;ERICSSON
TARJETA ERICSSON MMU2 H;ERICSSON
TARJETA ERICSSON MMU3A;ERICSSON
TARJETA ERICSSON NPU3 D;ERICSSON
TARJETA ERICSSON PFU 3B;ERICSSON
TARJETA ERICSSON PFU1;ERICSSON
TARJETA ERICSSON PNM 1001;ERICSSON
TARJETA ERICSSON PNM 1002;ERICSSON
TARJETA HUAWEI DMU02C1;HUAWEI
TARJETA ZTE CONTROLADORA CSU501B;ZTE
TARJETA ZTE SIU;ZTE
TERMINAL DE OJO;ERICSSON
TURBINA;OTRO
TARJETA CONTROLADORA IB2;ERICSSON
FIBRA OPTICA ROHS PATCHCORD LC-LC SIMPLEX MONOMODO 3MTS;SIN MARCA
